question,ans1,ans2,ans3
"Out of curiosity, how large is the pool?",It depends on how you count it. There are some questions that are randomized inside the question so how you count that would matter. Also there were some minor changes that made essentially duplicate questions.,Oh gotcha,BST not AVL
Adding 15 would be 13's right child. Wouldn't this require a left rotation first and then a right?,"because 17, 13, and 15 would form this shape","you're right that 17,13,15 will form this shape, but after adding 15, node 11 is the first node that's imbalanced, while node 17 is still balanced.","in this case the balance factor of 11 is 2, the balance factor of 17 is -1"
"Ah that makes perfect sense, but which node would get rotated right? I'm having trouble drawing it out","Would 21 be the blue node, 11 the green, and 17 purple?",Ah I think I got it; 11 would be blue,for this one right will be the 2 childs and then finally a left rotation so that purple is root
"Would 21 be the blue node, 11 the green, and 17 purple?",Ah I think I got it; 11 would be blue,for this one right will be the 2 childs and then finally a left rotation so that purple is root,"I think a good way of thinking about this is you want to resolve ""kinks"" and you are trying to straighten them and then move them where you need to"
was it supposed to be blanks 4 and 2?,just to make sure - hashing and BTrees aren't on this exam?,Both aren't,think so
just to make sure - hashing and BTrees aren't on this exam?,Both aren't,think so,That is correct hashing and Btrees are not on the exam.
"I feel like for this it's just none of the answers are right, is there a way to conclusively prove that the order traversals don't give a unique solution?",Draw two trees that match the traversals given but produce two different traversals.,o,"is there a more mathmatical proof for ""given two order traversals, a unique corresponding tree exists""?"
"is there a more mathmatical proof for ""given two order traversals, a unique corresponding tree exists""?",A counter example is a very fine mathematical proof. In fact since it is nice a clean it is when possible one of the preferred forms. I think what you are really asking is what is an algorithm for finding one which at a high level is find the constraints from each traversal due to the recursion and see if you have constrained you to a single tree.,For example what can you say is true of the first element of a preorder traversal?,"yeah you're right I meant algorithm, sorry"
For example what can you say is true of the first element of a preorder traversal?,"yeah you're right I meant algorithm, sorry",the first element must be the root,for preorder
I was able to determine that the tree started with 3 and had a child of 1 so I knew the level order had to start with 3 then 1. Is there a way to get the whole tree from this information? How would you get that information?,could someone explain this? I tried looking at what was said on Piazza but I am still confused,r here being the range of the subtree at each step.,Let me get this right.
could someone explain this? I tried looking at what was said on Piazza but I am still confused,r here being the range of the subtree at each step.,Let me get this right.,This is much easier to do on paper but here goes.
"can we assume that the nodes are being inserted in alphabetical order, or is it something else?",The tree is a binary search tree not just any tree. This is using the insert algorithm for a BST we saw in lecture and the basis of what happens in AVL other than rotations. So you can draw the tree.,I got it now. Thanks,"if the tree has height 7, then doesn't that mean the left subtree can have at max 64 nodes because it has to be balanced? the actual answer was 127 but i don't see why that works"
"if the tree has height 7, then doesn't that mean the left subtree can have at max 64 nodes because it has to be balanced? the actual answer was 127 but i don't see why that works",\Sum_{k=0}^6 2^k so you get 127,"another way of thinking about it:
we saw 381, then 278, which means we have to be in 381's left subtree. but then we see 401, which can't be in 381's left subtree, so we know something wrong happened.","Hi, could you explain your method for that problem? I was also unsure about it"
"Hi, could you explain your method for that problem? I was also unsure about it",I know based on the pre order the root is 3 and that the first element is 1 and by process of elimination determine that a is the right answer. But I was wondering if there’s a more consistent way,I can’t find the signup for the online exam. Does anyone know where it is?,jk it’s prairie test
I can’t find the signup for the online exam. Does anyone know where it is?,jk it’s prairie test,"For those of you who are confused about the question where you are given traversals and must come up with another traversal from info given, I wrote up a very good explanation here:
https://piazza.com/class/ksnsfb757l92km?cid=1044",is there a formula for these types of questions? or more so how should I be going about this
"For those of you who are confused about the question where you are given traversals and must come up with another traversal from info given, I wrote up a very good explanation here:
https://piazza.com/class/ksnsfb757l92km?cid=1044",is there a formula for these types of questions? or more so how should I be going about this,Yes if you review the proof you can find it.,Doesn't 33 also cause a single left rotation (rotates the 25-30-35 stick)?
is there a formula for these types of questions? or more so how should I be going about this,Yes if you review the proof you can find it.,Doesn't 33 also cause a single left rotation (rotates the 25-30-35 stick)?,n(h - 1) + 1 + n(h-2)
Doesn't 33 also cause a single left rotation (rotates the 25-30-35 stick)?,n(h - 1) + 1 + n(h-2),"n(0) = 1, n(1) = 2, n(2) = 4",That looks correct to me. Could you please comment on the question in PL so we can verify what happened in the question.
can someone walk me through each insertion and the rebalances especially? i'm having trouble visualizing the rotates even after drawing it out on a whiteboard,(i guessed the right answer btw lol),"will do, thanks!","more specifically, i get that after inserting 20, you're gonna want to rotate left, but for the inserting 13 and 11 i'm kinda lost there, if anyone could help"
Could I put 7 instead of 5?,"yes, IOP and IOS both work",Gotcha!,Can't you fix the tree with only a left rotation for 26?
Can't you fix the tree with only a left rotation for 26?,that tree u drew isn't a valid AVL tree (27 to the right of 30?),no u need a number > 35,"Why? Arent inserting 33 and say 37 the exact same thing functionally, since they change the heights of the exact same nodes?"
that tree u drew isn't a valid AVL tree (27 to the right of 30?),no u need a number > 35,"Why? Arent inserting 33 and say 37 the exact same thing functionally, since they change the heights of the exact same nodes?","33 is a Right Left, 37 is just a Left"
"Why? Arent inserting 33 and say 37 the exact same thing functionally, since they change the heights of the exact same nodes?","33 is a Right Left, 37 is just a Left",Right?,Right left centered on 25 or 30?
Right?,Right left centered on 25 or 30?,"Well ok 30 isn’t unbalanced so it must be 25, but just a left fixes it, no need for right left?",Why do we need a queue for a level order traversal?
Right left centered on 25 or 30?,"Well ok 30 isn’t unbalanced so it must be 25, but just a left fixes it, no need for right left?",Why do we need a queue for a level order traversal?,A level order traversal can be performed using BFS
"Well ok 30 isn’t unbalanced so it must be 25, but just a left fixes it, no need for right left?",Why do we need a queue for a level order traversal?,A level order traversal can be performed using BFS,And ideally for BFS a queue would be the best underlying data structure
Why do we need a queue for a level order traversal?,A level order traversal can be performed using BFS,And ideally for BFS a queue would be the best underlying data structure,Because you’d be visiting the points you add first earlier
Is there a general procedure for these types of problems? I can't seem to make out the tree when drawing it that would satisfy both of the traversals. Any tips for this?,would this be the right way to build a bst with a sequence like this? Or am i thinking about this the wrong way,3 and 8 aren't in the right spots,should look like this i think
would this be the right way to build a bst with a sequence like this? Or am i thinking about this the wrong way,3 and 8 aren't in the right spots,should look like this i think,ah ok thanks
Is a perfect binary tree also complete?,yes,"For a complete binary tree of height 4, would levels 1, 2, 3, and 4 be filled in and the 5th level would have as many left as possible?",yes
"For a complete binary tree of height 4, would levels 1, 2, 3, and 4 be filled in and the 5th level would have as many left as possible?",yes,how would u know how to build an avl tree from a traversal they give?,Every insertion you rotate the tree to make sure its balanced accordingly
how would u know how to build an avl tree from a traversal they give?,Every insertion you rotate the tree to make sure its balanced accordingly,i dont get how to insert into the avl tree,do we start with the left child or the right
there's a post on piazza https://piazza.com/class/ksnsfb757l92km?cid=1044 that might help,traversal or insert?,doesn't matter? you start at root. then if < go left and > go right,i forgot what u do with = but ig it depends on ur implementation
traversal or insert?,doesn't matter? you start at root. then if < go left and > go right,i forgot what u do with = but ig it depends on ur implementation,for the exam i dont think u will need to build a tree with =
doesn't matter? you start at root. then if < go left and > go right,i forgot what u do with = but ig it depends on ur implementation,for the exam i dont think u will need to build a tree with =,traversal
"it asks ""Which of the following sequences of keys cannot be the inOrder traversal of an AVL tree?""",Well an AVL tree is a BST so what needs to be true of the inOrder traversal?,is the output supposed to be in sorted order?,"Yes, that will be true of any BST right the BST property will ensure that is true."
Well an AVL tree is a BST so what needs to be true of the inOrder traversal?,is the output supposed to be in sorted order?,"Yes, that will be true of any BST right the BST property will ensure that is true.",is there a specific lecture where these properties are discussed?
is the output supposed to be in sorted order?,"Yes, that will be true of any BST right the BST property will ensure that is true.",is there a specific lecture where these properties are discussed?,When we talked about BST and when we talked about traversals and in lab_trees.
is there a specific lecture where these properties are discussed?,When we talked about BST and when we talked about traversals and in lab_trees.,are the lab handouts available anywhere to look at?,they should be on the top right corner of the individual lab pages
are the lab handouts available anywhere to look at?,they should be on the top right corner of the individual lab pages,oh,thanks
"i dont understand how to get the answer for this one, do u take the number of nodes+1?","you can put all 357 keys in a line, in which case all keys have 1 NULL ptr, except for the last node which has 2 NULL ptrs","if you choose to break the line and attach it somewhere else, you take out a NULL ptr but then you introduce another NULL ptr",induction noises
"Does anyone understand how to do this? I would think that since we are deleting a leaf, no particular node is unbalanced with a value of 2, so a rotation would not even happen to begin with","if we delete 1, then 2 becomes unbalanced",since right height - left height = 1 - (-1) = 2,"then we have this shape , so we do RL
\\
/"
how do you do this?,for this one i think in order to a left rotation you need a stick where everything is going to the right,"we have 2 spots like that, at 19 and 35",theres no number in the answers greater than 35 so we chose 20
so you just choose for a left it has to go on the right and for a right it has to go on the left?,yeah,Remember the number also has to unbalance the tree,im going off of this
9 and 15 are also on the right why dont you do those?,i did it and got the right answer but i think my method is incorrect,They don’t unbalance the tree so they don’t cause a rotation,@kingcobra121 you have to choose a number that would form a 3 node long stick that points right
so it would become 19 at the top and 20 on the right and 17 and 13 on the left after the left rotation?,that would balance it?,oh actually are you performing the left rotation on node labelled 11,so that would balance everything I just did it
that would balance it?,oh actually are you performing the left rotation on node labelled 11,so that would balance everything I just did it,if you perform it on 11
anybody know in what lecture we cover this?,i think that's knowledge over multiple lectures,honestly i'd just google it,Anyone have an idea on how I'd even get started on this?
Anyone have an idea on how I'd even get started on this?,Can I assume the tree is balanced?,No,The best approach I have found is to just start drawing and see if you find something that works
Can I assume the tree is balanced?,No,The best approach I have found is to just start drawing and see if you find something that works,how would i go about for this one
https://piazza.com/class/ksnsfb757l92km?cid=1044,you left rotate on 11 and the right rotate on 17,can someoneexplain why this is b?,"that's what i was wondering, i don't think i drew my tree right"
can someoneexplain why this is b?,"that's what i was wondering, i don't think i drew my tree right",i found the lecture that the chart is in its in the lecture from oct 13,can we swap to a different exam time 1 hr before the exam?
can we swap to a different exam time 1 hr before the exam?,I think i need more time to study for this exam,do more practice test,^^
is there a formula for the minimum number of nodes in a avl tree of height h?,yeah isnt it like n(h-1) + 1 + n(h-2),Ok i swapped to tomorrow,"where n(0) = 1, n(1) = 2, n(2) = 4"
wait so is the answer node d or b?,The answer’s c.) the node containing b,so what is the last node to get added to the queue?,Ya
so what is the last node to get added to the queue?,Ya,ok i got node d,is the last one to be added
is that correct?,The last one to be added is node b,im confused on how u would get that,when i tried making the tree i got that the left side was unbalanced so i balanced it
Does anyone know which lecture had the level order traversal in it?,what do u need to know about it?,i couldnt really find it,wait nvm found it
what do u need to know about it?,i couldnt really find it,wait nvm found it,"Couldnt u get the front of the queue without dequeueing, enqueue its children, and then dequeue?"
"Couldnt u get the front of the queue without dequeueing, enqueue its children, and then dequeue?",only for stl yes,"but for an actual queue, no",a real queue by the definition we had in lecture doesn't support peeking
@Liseiden did u already take the midterm?,yeh,Oh so we use stack for DFS and any BFS we use a queue?,Just so I know i'm understanding it correctly
Oh so we use stack for DFS and any BFS we use a queue?,Just so I know i'm understanding it correctly,yeah. The difference in traversals comes from when you print out and when you're pushing the children onto the stack,"i believe in lecture we went over those using recursion, which actually is just using a stack"
"For a question like this, how do you determine which node should replace the deleted node??",successor or predecessor,Choose either IOS or IOP^,"so right -> as far left as possible
or left -> as far right as possible"
link?,https://piazza.com/class/ksnsfb757l92km?cid=1044,@Ibraheemus,ty
https://piazza.com/class/ksnsfb757l92km?cid=1044,@Ibraheemus,ty,how would i do this question
Is the answer 358?,yeah,"oh okay. There was a proof we did in class that said, if there are n data items in our representation of a binary tree, then there are n+1 nullptrs",the keys are the data I believe
Can someone explain why the answer is 15 please?,"height 3 = root + 3 levels down
so then we have 1 + 2 + 4 + 8 = 15
perfect tree = all levels filled",so that's both the min and max,a perfect binary tree is one in which every node has at least 2 children and no leaf has more depth than its adjacent leaf
"Just to make sure, this is O(n log n) because we have to traverse the height of the tree (log n operation) to insert the node and then we do that n times?",can someone explain why this is the correct answer?,You can draw a rough sketch of the tree using the preorder traversal they give you,and the info
can someone explain why this is the correct answer?,You can draw a rough sketch of the tree using the preorder traversal they give you,and the info,one sec
but do you get how I made this tree at least?,I could walk though it,"please do if possible, I tried to sketch it out but I did it incorrectly","Since it's a preorder traversal, I know the root node is going to be an asterix"
can someone explain how to calculate this?,N(h) = N(h-1) + N(h-2) + 1 where N(2)=4 N(1)=2 N(0)=1,hey just wanted to make sure I'm on the right track,That question corresponds to this BST correct?
That question corresponds to this BST correct?,looks right,I thought the height of this tree wouldbe 4 tho,why
So why is it 3?,root is 0,unless ur root node doesn't count as height?,theres 3 edges from root to leaf
unless ur root node doesn't count as height?,theres 3 edges from root to leaf,ahh ok,The number of edges is the height
would h = 5?,no?,why would it be 5,it says height 6
no?,why would it be 5,it says height 6,because its asking for left subtree
"it asks the maximum number of nodes, so basically every level should be filled?",ohhh,yeah thats right,i gave equation for minimum
Can anyone explain this? I'm still confused,"its this, where h = 5  @KurtP",Ohhhhh,ok thx
can someone explain why D is right?,root = null,Can i binary tree have 0 nodes?,oh
Can i binary tree have 0 nodes?,oh,yes,root doesn't count as a node then?
root doesn't count as a node then?,or are u saying in the case of root = null then the binary tree would have 0 nodes,it would just be an empty tree,this
"and also, an empty tree still counts as a binary tree?",yes,and an empty tree is when root = null correct?,yup
and an empty tree is when root = null correct?,yup,sweet thnx for the clarification,Can someone explain why this is b?
Can someone explain why this is b?,Im having trouble making the tree,wait  how did you know which side to insert them? Is a on the left of e because thats how it is in the alphabet?,yup
wait  how did you know which side to insert them? Is a on the left of e because thats how it is in the alphabet?,yup,is BST,so < > are valid
how is this 20? i am getting 28?,i am using 1+N(h-1)+N(h-2),Do you know what the order of the enqueue and dequeues would be?,would anyone be able to explain how to identify the imbalance after inserting here?
Do you know what the order of the enqueue and dequeues would be?,would anyone be able to explain how to identify the imbalance after inserting here?,"N(h) = N(h-1) + N(h-2) + 1 where N(2)=4 N(1)=2 N(0)=1
h = 5 because minimum and left subtree",you dequeue an node after queueing its children for a level order
would anyone be able to explain how to identify the imbalance after inserting here?,"N(h) = N(h-1) + N(h-2) + 1 where N(2)=4 N(1)=2 N(0)=1
h = 5 because minimum and left subtree",you dequeue an node after queueing its children for a level order,Look at 25 after inserting 26
oh so 1 - 3 in this case?,yup,could someone walk me through this?,"N(h) = N(h-1) + N(h-2) + 1 where N(2)=4 N(1)=2 N(0)=1
h = 5 because minimum and left subtree"
could someone walk me through this?,"N(h) = N(h-1) + N(h-2) + 1 where N(2)=4 N(1)=2 N(0)=1
h = 5 because minimum and left subtree",I do that,"minimum implies imbalance not in its favor, so h--, and since its a left subtree of the root h-- again"
and i get 28?,oh so its h of 5?,yup,"for this question what does ""enqueued"" mean?"
oh so its h of 5?,yup,"for this question what does ""enqueued"" mean?",I drew out the tree but I don't understand what they're asking for
"for this question what does ""enqueued"" mean?",I drew out the tree but I don't understand what they're asking for,i see ty!,you would use a queue to traverse
So you're queue of nodes is just the sequence of letters that they give you correct?,"Like the queue is e, a, j, i, b, d, c, g, h, f. So you're saying that when you're dequeueing your taking letters out the front of the queue",So the last node to be dequeued before j is i?,"this isn't a queue, it's a bunch of inserts for a BST"
So the last node to be dequeued before j is i?,"this isn't a queue, it's a bunch of inserts for a BST","so you would use this sequence to draw your tree, according to the order of the alphabet, with e being root","you'd then have to think of what the level order traversal would look like 
the queue is in the traversal storing the nodes"
does anyone have a better explanation?,"Ok, I think I kinda get it, so I would first put my root node ""e"" into my queue, then pop that and put my two children into the queue ""a"" and ""j"", cuz that's the next level. But after that, how do I know whether I'm going to pop ""a"" or ""j"" first?","Since a queue is first in first out, I'm not sure what the order or me putting in the children nodes would be",Would I insert children nodes into the queue from left to right or right to left?
"Ok, I think I kinda get it, so I would first put my root node ""e"" into my queue, then pop that and put my two children into the queue ""a"" and ""j"", cuz that's the next level. But after that, how do I know whether I'm going to pop ""a"" or ""j"" first?","Since a queue is first in first out, I'm not sure what the order or me putting in the children nodes would be",Would I insert children nodes into the queue from left to right or right to left?,"in order goes lowest height, then left to right"
Would I insert children nodes into the queue from left to right or right to left?,"in order goes lowest height, then left to right","pop e, so []","queue e's children, left then right, so [a, j]"
"for the height of a tree, from eric's picture, is it 4?",yup,ty,"then pop a,  so [j]
queue a's children, so [j , b]
etc"
does the exam 2 practice also cover exam 1 questions that can return?,the exams are cumulative?,yes,Why does the bst tree have a runtime of h for find while avl has log n?
the exams are cumulative?,yes,Why does the bst tree have a runtime of h for find while avl has log n?,The practice doesn’t
Why does the bst tree have a runtime of h for find while avl has log n?,The practice doesn’t,what if root is 0 and you just happened to add all the integers from 1 to n in order,But the exam itself does
could someone explain why this is the right answer?,"One way to think about it is that they both have a runtime of h. Only that a binary tree and BST has no guarantees for the height of the tree, and hence h = n worst case.","However since an AVL is self balancing, h = log n at the worst case",Hence your O(log n)
Does an avl tree have any properties other than inorder traversal is sorted and and h=log n that we need to know?,ohhhh okay that helps a lot thank you!,Well most of the intricacies come from how you get it to h=log n ie the rotations,Well other than those lol
would someone be able to explain how to construct this tree?,Minimum nodes for an AVL TREE is N(h) = N(h-1) + N(h-2) + 1 where N(0) = 1 and N(1) = 2,It’s impossible to create an unambiguous tree from these traversals,@mui there's an explanation for a similar problem on piazza but i still dont get how to do it
so having the pre and post doesn't really give us a specific tree?,In this case it’s because the list consists of so many elements of the same value,You can’t really tell when a subtree ends and you’re back in the main tree or otherwise,In general yes pre and post cannot guarantee a 100% unambiguous representation of a tree
@justin if each node was different how would u solve the problem?,But usually you can get a pretty good idea of what it should look like,"We know pre is NLR, post is LRN",First in pre must equal last in post
can someone explain in general how to know when to do a left/right/LR/RL rotation? like in terms of the inbalance,"balance < -1, and:
1. left balance < -1 then right
2. left balance > 1 then left right

balance > 1, and:
1. right balance > 1 then left
2. right balance < -1 then right left","visually, if it's a stick like this, it's either L or R","if it's an elbow like this, RL or LR, where you pull it straight into a stick, then bring it into a /\ shape"
Balance is Lheight - Rheight or the other way?,rh - lh,thank you so much!!,LR and RL is if the balance difference is -2 or 2
why would inserting 33 cause a single left rotation?,It’d be the left subchild of 35,Which would look like this tree right here,"And since we don’t care about the green nodes, looking at just the stick, we can see we need a left rotation"
"can someone explain this question, is there a formula for this or smthn?","Min for AVL :
Min(h) = Min(h-1) + Min(h-2) + 1; Min(1) = 2, Min(0) = 1",Max of a sub root of an AVL tree is max of an AVL tree of height h-1,and then plug into that formula above (the max one)
the min and max are different formulas tho?,yes,whats the min # of nodes for binary?,"wait I still don't really understand the formula, what is Min(h-1) for example"
whats the min # of nodes for binary?,"wait I still don't really understand the formula, what is Min(h-1) for example",it's a recursive function,Like is it just the minimum number of nodes  if you have height 1 is 2 nodes?
Like is it just the minimum number of nodes  if you have height 1 is 2 nodes?,cuz u have the root node and whatever other child node?,"so 
Min(5) = Min(4) + Min(3) + 1
Min(4) = Min(3) + Min(2) +1
.....
Min(1) = 2
Min(0) = 1",wait so you would just keep adding until you get to 0?
cuz u have the root node and whatever other child node?,"so 
Min(5) = Min(4) + Min(3) + 1
Min(4) = Min(3) + Min(2) +1
.....
Min(1) = 2
Min(0) = 1",wait so you would just keep adding until you get to 0?,like Min(5) = Min(4) + Min(3) + Min(2) + Min(1) + Min(0) + 1?
wait so you would just keep adding until you get to 0?,like Min(5) = Min(4) + Min(3) + Min(2) + Min(1) + Min(0) + 1?,like that would be it all the way through?,"keep going till you hit those lat two and start plugging the numbers you get back into the equation

so 

Min(3) = Min(2) + Min(1) + 1
Min(2) = Min(1) + Min(0) + 1
Min(1) = 2
Min(0) = 1"
like Min(5) = Min(4) + Min(3) + Min(2) + Min(1) + Min(0) + 1?,like that would be it all the way through?,"keep going till you hit those lat two and start plugging the numbers you get back into the equation

so 

Min(3) = Min(2) + Min(1) + 1
Min(2) = Min(1) + Min(0) + 1
Min(1) = 2
Min(0) = 1",not exactly
like that would be it all the way through?,"keep going till you hit those lat two and start plugging the numbers you get back into the equation

so 

Min(3) = Min(2) + Min(1) + 1
Min(2) = Min(1) + Min(0) + 1
Min(1) = 2
Min(0) = 1",not exactly,oh no I see what ur doing
wait did i fuck something up?,i used 2^(h+1) - 1,oh wait,yeah
so it would be (2^8) -1?,"no, 2^(6+1) - 1",wait so (2^7) -1,ye
"If i remove 8, the original root node is gone is it not?",Or is my tree constructued incorrect,Is it d?,just guessing
Is it d?,just guessing,If the tree is correct it should be d,Because that would be your IOP
is iop/ios different when the node being removed isn't the root? i'm not sure why 1 is replaced with 2,it's one child remove so the child takes it's parent place,ahhhh ty,can someone help me out with this?
can someone help me out with this?,It's not even that I don't understand preorder,like,how do I build this tree
What makes something greater or less than?,in order is just left root right,gotta build the tree first,so *'s left node would be +
"Sigh I'm so confused, I scrolled up and stuff and saw that I'm supposed to enqueue my e first, then pop, then enqueue a and j, then pop both, but ig the answer is we last enqueued B? Prolly not the right thought process.",You build the tree first,Then traverse,The tree is not in the same order as the insert
thoughts?,for this one ^,K this says I dequeue a node after queueing it's children idk anymore,It says - can only have a right child but otherwise correct
"oooh I seeee, I thought b/c of the answer it would only make sense for 3 to be on the right but I wasn't sure why, cause if that rule wasn't there then 3 could be on the left or right correct?",I did it on paper and checked it using a visualizer,Yes it would be ambiguous,Ah thank you!
"to do this, would I have to calculate the min # of nodes for a height of 4?",Yes,so that would be min(4) = min(3) + min(2) + 1,and min(3) = min(2) + min(1) + 1
so wouldn't min(4) = 12?,Can anyone explain why this is the case?,could someone explain how to rebalance this? like which node replaces which?,how is this balanced
Can anyone explain why this is the case?,could someone explain how to rebalance this? like which node replaces which?,how is this balanced,oh wait nvm i'm dumb
could someone explain how to rebalance this? like which node replaces which?,how is this balanced,oh wait nvm i'm dumb,Left rotate on 0007
why is it O(n) and not O(logn)?,You have to go through every node to delete it,Like a traversal,Not enough time for it to be more than constant
But does that time taken to remove one specific node change significantly if we were removing a node from a tree of 1000000000 elements?,And plus if you just recursively delete nodes from the bottom up it’s just simply a delete call which is O(1),Without having to rebalance or anything since we’re deleting the whole tree anyway,how to do you calculate this?
how to do you calculate this?,never mind got it!,"wait when talking about ""a tree of height x""",is the root node at height x - 1?
is the root node at height x - 1?,since the leaf node is at height 0 and so on,nvm it looks like the height of the tree is the height of the root node,so a height of x has x + 1 levels and a height of 0 is just one node
"is ""level h"" counting downwards from the top?",ok I got a 35% we can only go up from here,What is the definition of a complete binary tree?,"this is how I think about it, kinda informal tho:

A Binary Tree is a Complete Binary Tree if all the levels are completely filled except possibly the last level, and the last level has all nodes as left as possible"
What is the definition of a complete binary tree?,"this is how I think about it, kinda informal tho:

A Binary Tree is a Complete Binary Tree if all the levels are completely filled except possibly the last level, and the last level has all nodes as left as possible",So we basically count heights with the root node as 0?,If anyone can explain this I would greatly appreciate it.
So we basically count heights with the root node as 0?,If anyone can explain this I would greatly appreciate it.,Would it be just like this?,Please do @ me in the morning if you how to approach these.
Would it be just like this?,Please do @ me in the morning if you how to approach these.,yeah I think it would just be that,"ur right for both, we proved the second one in lecture"
"I get that the operation takes O(1) time, but doesn't finding the place to do the operation take more than O(1) time?",it's just concerned with the right left rotation,there's no find involved,"hmmm, okay"
is that all that will be covered?,"ex data structure student here, but was wondering what would be the amortized time complexity if we only increase the size of an array by 1.5? i thought that since it’s a multiplying factor and not a constant addition then it would still be O(n)",how would you think about this,"draw out a tree based on the information given and use the properties of a preorder traversal. (what does the first letter represent, what does the second letter represent?)"
"ex data structure student here, but was wondering what would be the amortized time complexity if we only increase the size of an array by 1.5? i thought that since it’s a multiplying factor and not a constant addition then it would still be O(n)",how would you think about this,"draw out a tree based on the information given and use the properties of a preorder traversal. (what does the first letter represent, what does the second letter represent?)",would someone be able to explain how to do this one?
"draw out a tree based on the information given and use the properties of a preorder traversal. (what does the first letter represent, what does the second letter represent?)",would someone be able to explain how to do this one?,"Looks at the next value in the list. In c, since 9 < 121, if every other node is less than 121, the node is valid. 9 < 107, so every other node in the list must be greater than 9 in the list, but 4 appears later on, so it can't be valid. @mui","Is the time to insert n nodes for an avl tree n*log n because to insert a single node its log n, so u multiply log n by n?"
would someone be able to explain how to do this one?,"Looks at the next value in the list. In c, since 9 < 121, if every other node is less than 121, the node is valid. 9 < 107, so every other node in the list must be greater than 9 in the list, but 4 appears later on, so it can't be valid. @mui","Is the time to insert n nodes for an avl tree n*log n because to insert a single node its log n, so u multiply log n by n?",could someone explain this? i tried using the recursive formula but alas
"Is the time to insert n nodes for an avl tree n*log n because to insert a single node its log n, so u multiply log n by n?",could someone explain this? i tried using the recursive formula but alas,"Height of -1: 0
Height of 0: 1
Height of 1: 1+1+0=2
Height of 2: 1+2+1=4
Height of 3: 1+4+2=7",Since we only want the left subtree we stop there
could someone explain this? i tried using the recursive formula but alas,"Height of -1: 0
Height of 0: 1
Height of 1: 1+1+0=2
Height of 2: 1+2+1=4
Height of 3: 1+4+2=7",Since we only want the left subtree we stop there,(For the full tree the answer 12 would be correct tho)
how would we know when to stop the recursion?,"Can anyone explain to me why the answer is e and not d? Options b and c seem very similar to option e, with 8 numbers with distinct values listed in increasing order. The only thing that's changing is the magnitude of the values. How can e be an invalid traversal if a and c are valid?",205 comes before 200 in e,ohhhh...I've been staring at this too long
"Can anyone explain to me why the answer is e and not d? Options b and c seem very similar to option e, with 8 numbers with distinct values listed in increasing order. The only thing that's changing is the magnitude of the values. How can e be an invalid traversal if a and c are valid?",205 comes before 200 in e,ohhhh...I've been staring at this too long,thank you
so for a height of 7 you can just stop at 5 since left could have 5 and right could have 6?,yeah i think so if its asking for the min # of nodes in a subtree,yay! i think i got it tysm,"I  got N(5) = 1 + 7 + 4 =  12, but the answer is 20. I noticed that 20 is for when h = 6. I don't understand why its 20, when the height is 5 in the problem"
"oh so the height of the root is 0?And the number of levels is h+1, right?","leaf nodes are level 0, the height of the tree is the height of the root node from 0",well,you can count it in reverse
this look correct for the tree for the quesiton above?,looks good to me,yeah except u put 3 twice,i put 3 twice?
i put 3 twice?,lol your 1 looks like a 3,oh lol,"also, what would the rotation be like for this question? if any1 knows"
"also, what would the rotation be like for this question? if any1 knows","that's just a BST, not an AVL, so there's no rotation",u just replace 6 with 5 or 7 and then make sure everything looks right,you'd swap 6 with the IOP/IOS and delete it
"But since inorder traversal is left, root, right wouldn't that mean the numbers right before/after 6 are 4 or 8 in this case?",So 4 or 8 would be the new root node?,"when traversing 4, you get (stuff from left subtree) / 4 / 5",after that you get 6
So 4 or 8 would be the new root node?,"when traversing 4, you get (stuff from left subtree) / 4 / 5",after that you get 6,so 5 is the IOP
Does it matter whether or not you swap with the IOP or IOS?,"you end up with different results, but both are valid BSTs",ok thank you sounds good!,"I believe for this one, the first blank is log(17) for the max height? And I am not sure how to find the number of nodes on level h"
"I believe for this one, the first blank is log(17) for the max height? And I am not sure how to find the number of nodes on level h",I was just on that question,"Yea I think none of them are right, because you would have to have a log",The first blank would be 4
is that not the correct equation?,and I think there's 2 on level h?,whats you're reasoning for coming to that conclusion,tbh for these I just draw them out
and I think there's 2 on level h?,whats you're reasoning for coming to that conclusion,tbh for these I just draw them out,oh ok
I understand the first part of the question but what does this part mean?,is that just the last level?,yeah,I drew out the tree
is that just the last level?,yeah,I drew out the tree,So that last row of extras would be 2 nodes?
So that last row of extras would be 2 nodes?,yeah that's how I did it,ok,Man there has to be some sort of equation for this
is my avl tree correct?,I think I'm missing something here,I think you'd rotate after inserting 8?,You have to balance the tree every time there is an imbalance after inserting
I think you'd rotate after inserting 8?,You have to balance the tree every time there is an imbalance after inserting,oh shoot yea I forgot about the rotations,and then again after inserting 1 but that shouldn't matter for this question I think
so how would i rebalance this?,just an LL rotation?,7 would need a right left,So right on 9 left on 7
just an LL rotation?,7 would need a right left,So right on 9 left on 7,Basically first 8 goes to 9s place and 9 goes right child of 8
Wait so that means memory and stuff is fair game still right? Bc ngl that kinda tripped me up last time,"Then a left rotation on 7 makes 8 the new place of 7, 7 to the left of 8 and 9 to the right of 8",Am I allowed to say the type of question or is that supposed to be a surprise?,I mean ig it would be fair game since they're cumulative and got some on test 1
Am I allowed to say the type of question or is that supposed to be a surprise?,I mean ig it would be fair game since they're cumulative and got some on test 1,The questions from exam 1 are worth 3 points instead of 5,And the test goes by faster than a practice test
